Batch_size;Epochs;Modello;Train_acc;Test_acc;Test_acc_std
128;50;chroma_cnn;0.53834188;0.449106574;0.027662972
128;70;chroma_cnn;0.585907996;0.494368261;0.019622252
128;70;chroma_cnn;0.57901758;0.486626178;0.024074224
128;70;chroma_cnn;0.59702158;0.499928826;0.021784822
32;30;base_model;0.806623697;0.48130812;0.017896988
32;30;base_model;0.809957743;0.481020629;0.023267312
32;30;base_model;0.810624599;0.491255212;0.014176022
32;40;base_model;0.859302044;0.473977762;0.024806189
32;40;base_model;0.856857061;0.481648999;0.023148526
32;40;base_model;0.851522565;0.495610845;0.024158924
32;50;base_model;0.874861062;0.478066343;0.016556163
32;50;base_model;0.885974646;0.492907947;0.032376077
32;50;base_model;0.88419646;0.477079183;0.019540411
32;70;base_model;0.922871768;0.469153577;0.025922277
32;70;base_model;0.916425884;0.452716887;0.027469795
32;70;base_model;0.925539017;0.466564524;0.03090741
64;30;base_model;0.761947095;0.495909202;0.030932253
64;30;base_model;0.765725732;0.510772818;0.03197218
64;30;base_model;0.7652812;0.471502495;0.029668795
64;40;base_model;0.810624599;0.494381917;0.026860485
64;40;base_model;0.816848159;0.490839338;0.029653702
64;40;base_model;0.806179166;0.477162242;0.031428292
64;50;base_model;0.845965743;0.473716748;0.042787875
64;50;base_model;0.83840853;0.490457219;0.019649672
64;50;base_model;0.841742635;0.478180265;0.035175056
64;70;base_model;0.887752831;0.491631114;0.02800833
64;70;base_model;0.889086485;0.47749179;0.021777452
64;70;base_model;0.891086936;0.490211684;0.022945487
128;30;base_model;0.720826864;0.467825639;0.030263416
128;30;base_model;0.717937291;0.487091273;0.028389742
128;30;base_model;0.711046875;0.472800076;0.020047888
128;40;base_model;0.761947095;0.47897504;0.026956135
128;40;base_model;0.769282043;0.480876124;0.02726476
128;40;base_model;0.754834414;0.476846486;0.036298233
128;50;base_model;0.79773283;0.494171041;0.028237988
128;50;base_model;0.79773283;0.498980409;0.025531202
128;50;base_model;0.784174263;0.510582632;0.034231416
128;70;base_model;0.839075327;0.498150218;0.023719751
128;70;base_model;0.828850865;0.490433472;0.03425549
128;70;base_model;0.83374083;0.500011271;0.038713887
32;40;adv1_model;0.868859768;0.53946141;0.020648561
32;40;adv1_model;0.875750184;0.518186176;0.015525224
32;40;adv1_model;0.881751478;0.53962425;0.013019019
32;50;adv1_model;0.907535017;0.543644571;0.012941875
32;50;adv1_model;0.899533212;0.524790311;0.019190633
32;50;adv1_model;0.905534565;0.540906888;0.028953579
32;70;adv1_model;0.931762636;0.522415644;0.022036364
32;70;adv1_model;0.940431178;0.518297756;0.019645976
32;70;adv1_model;0.935318947;0.53486495;0.020671242
32;100;adv1_model;0.963102937;0.52484225;0.033259537
32;100;adv1_model;0.959991097;0.521417981;0.020450339
32;100;adv1_model;0.95576793;0.533523011;0.02816053
64;40;adv1_model;0.858190715;0.539025271;0.019497812
